epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,311.236,1.68663,0.66545,1.18029,0.78012,0.93548,0.76439,0.33655,1.89991,1.20505,1.47051,0.0011486,0.0011486,0.0011486
45,318.187,1.68016,0.67576,1.18732,0.79309,0.93548,0.77575,0.34353,1.90883,1.05377,1.47409,0.0011288,0.0011288,0.0011288
46,325.157,1.6304,0.64977,1.19788,0.77368,0.90323,0.72343,0.3565,1.87865,0.96811,1.45369,0.001109,0.001109,0.001109
47,332.101,1.64879,0.64941,1.19772,0.77525,0.90323,0.76573,0.35308,1.89826,0.91703,1.47224,0.0010892,0.0010892,0.0010892
48,339.069,1.68486,0.66732,1.19278,0.80325,0.93548,0.78469,0.32682,1.97943,0.89088,1.46897,0.0010694,0.0010694,0.0010694
49,345.953,1.70014,0.69714,1.19297,0.77557,0.90323,0.76457,0.33895,2.00268,0.96695,1.47836,0.0010496,0.0010496,0.0010496
50,352.967,1.6485,0.67531,1.18785,0.77058,0.90323,0.78848,0.37181,1.95142,0.91097,1.48979,0.0010298,0.0010298,0.0010298
51,359.846,1.63172,0.64593,1.19168,0.75195,0.90323,0.72402,0.32778,1.94149,0.97641,1.49064,0.00101,0.00101,0.00101
52,366.816,1.62597,0.6357,1.19811,0.75151,0.90323,0.72825,0.33472,1.88859,0.98784,1.45438,0.0009902,0.0009902,0.0009902
53,373.711,1.6675,0.64746,1.2073,0.75071,0.90323,0.7194,0.32178,1.95818,0.95473,1.49617,0.0009704,0.0009704,0.0009704
54,380.728,1.64224,0.64803,1.20044,0.70543,0.87097,0.67883,0.29847,1.98338,1.03676,1.54945,0.0009506,0.0009506,0.0009506
55,387.608,1.67286,0.65205,1.16641,0.71924,0.87097,0.68009,0.30315,1.92645,1.00721,1.50905,0.0009308,0.0009308,0.0009308
56,394.601,1.62669,0.63671,1.2105,0.75326,0.90323,0.72242,0.30756,2.0293,0.96151,1.524,0.000911,0.000911,0.000911
57,401.548,1.65217,0.63471,1.19067,0.72124,0.87097,0.72443,0.31086,2.005,1.00425,1.51704,0.0008912,0.0008912,0.0008912
58,408.515,1.60952,0.62614,1.16847,0.71025,0.87097,0.72672,0.33076,1.93477,0.96873,1.48438,0.0008714,0.0008714,0.0008714
