epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,95.72,2.01607,0.8596,1.39706,0.55036,0.3951,0.45388,0.21282,2.20448,2.42254,1.6635,0.00128658,0.00128658,0.00128658
16,102.279,1.8993,0.86489,1.30172,0.70462,0.80645,0.71255,0.22779,2.3541,1.75784,1.76778,0.0013357,0.0013357,0.0013357
17,108.86,1.90236,0.78922,1.27074,0.71264,0.80014,0.70363,0.25622,2.26072,1.5388,1.66089,0.0013664,0.0013664,0.0013664
18,115.499,1.79494,0.7664,1.2481,0.78138,0.90323,0.78258,0.26376,2.26189,1.88397,1.66614,0.0013268,0.0013268,0.0013268
19,122.102,1.82666,0.77169,1.26295,0.78031,0.93548,0.76577,0.28838,2.12508,1.82392,1.69191,0.0012872,0.0012872,0.0012872
20,128.938,1.75389,0.72121,1.22606,0.72182,0.90323,0.71242,0.29002,1.9573,1.52255,1.56259,0.0012476,0.0012476,0.0012476
21,135.775,1.78901,0.75644,1.2256,0.70814,0.90323,0.65728,0.28693,1.85925,1.47356,1.46326,0.001208,0.001208,0.001208
22,142.81,1.75089,0.78357,1.25054,0.6464,0.90323,0.67198,0.3204,1.92628,1.42435,1.51256,0.0011684,0.0011684,0.0011684
23,150.251,1.76937,0.75848,1.24195,0.72802,0.90323,0.70861,0.30427,1.94143,1.18525,1.50281,0.0011288,0.0011288,0.0011288
24,157.519,1.70903,0.73181,1.20982,0.72999,0.90323,0.72813,0.32643,1.78127,1.54931,1.42266,0.0010892,0.0010892,0.0010892
25,165.131,1.73572,0.73304,1.21399,0.68566,0.8445,0.74663,0.34284,1.71926,1.67556,1.40403,0.0010496,0.0010496,0.0010496
26,172.725,1.7523,0.73655,1.23483,0.64571,0.90323,0.64149,0.27211,1.91846,1.27054,1.47228,0.00101,0.00101,0.00101
27,179.655,1.75495,0.73698,1.22495,0.64763,0.87097,0.64466,0.27109,1.90713,1.27223,1.45309,0.0009704,0.0009704,0.0009704
28,186.588,1.74542,0.70597,1.21524,0.77286,0.90323,0.73962,0.30089,1.94922,1.23018,1.51852,0.0009308,0.0009308,0.0009308
29,193.392,1.72857,0.70328,1.2237,0.79994,0.93548,0.77106,0.30833,1.9221,1.22472,1.49507,0.0008912,0.0008912,0.0008912
30,200.289,1.70686,0.70008,1.20976,0.7295,0.83871,0.67307,0.32309,1.71792,1.02374,1.42684,0.0008516,0.0008516,0.0008516
31,207.077,1.72503,0.71317,1.20224,0.7269,0.87097,0.67526,0.31517,1.75806,0.98469,1.42183,0.000812,0.000812,0.000812
32,213.99,1.70422,0.68274,1.23096,0.77066,0.90323,0.73735,0.34662,1.73477,1.01589,1.38111,0.0007724,0.0007724,0.0007724
33,221.282,1.71942,0.6773,1.20797,0.77172,0.90323,0.73205,0.34387,1.73051,0.96404,1.40352,0.0007328,0.0007328,0.0007328
34,228.33,1.66389,0.66537,1.15896,0.77579,0.89313,0.72378,0.33558,1.85946,0.95084,1.47026,0.0006932,0.0006932,0.0006932
35,235.3,1.65473,0.66792,1.19244,0.72741,0.83871,0.69257,0.33831,1.82878,0.90977,1.4643,0.0006536,0.0006536,0.0006536
36,242.316,1.65148,0.64716,1.20926,0.76724,0.87097,0.74479,0.33617,1.87695,0.97179,1.53045,0.000614,0.000614,0.000614
37,249.204,1.62434,0.62861,1.21999,0.79482,0.90323,0.76985,0.33145,1.9181,0.94702,1.52926,0.0005744,0.0005744,0.0005744
38,256.223,1.63334,0.64373,1.17422,0.80535,0.93427,0.79689,0.31964,1.88479,0.89831,1.49051,0.0005348,0.0005348,0.0005348
39,263.131,1.63887,0.62483,1.1957,0.80193,0.93548,0.77082,0.34057,1.81545,0.86084,1.43229,0.0004952,0.0004952,0.0004952
40,270.101,1.6228,0.61968,1.17096,0.75451,0.90323,0.7278,0.34185,1.91794,0.85635,1.50826,0.0004556,0.0004556,0.0004556
41,277.691,1.61716,0.60164,1.29012,0.75455,0.90323,0.74269,0.35367,1.92553,0.85859,1.51356,0.000416,0.000416,0.000416
42,285.079,1.61434,0.58901,1.25394,0.75414,0.90323,0.75257,0.37865,1.89283,0.8453,1.48845,0.0003764,0.0003764,0.0003764
43,292.342,1.62101,0.57268,1.27804,0.75407,0.90323,0.76192,0.37578,1.86451,0.86725,1.4699,0.0003368,0.0003368,0.0003368
44,299.298,1.61834,0.5838,1.25368,0.72825,0.87097,0.74268,0.34914,1.96386,0.88113,1.55326,0.0002972,0.0002972,0.0002972
45,306.167,1.62175,0.58645,1.29526,0.72982,0.87097,0.75248,0.362,1.96458,0.8797,1.54881,0.0002576,0.0002576,0.0002576
46,313.065,1.61414,0.59695,1.2468,0.74038,0.87097,0.75174,0.35823,1.94312,0.87929,1.52694,0.000218,0.000218,0.000218
47,319.885,1.56921,0.57713,1.19896,0.7434,0.87097,0.73303,0.35343,1.94258,0.88254,1.51216,0.0001784,0.0001784,0.0001784
48,326.817,1.59185,0.56757,1.24197,0.79914,0.93548,0.79174,0.34716,1.95685,0.90277,1.49921,0.0001388,0.0001388,0.0001388
49,333.66,1.56454,0.5606,1.26014,0.79934,0.93548,0.79379,0.34927,1.95391,0.90154,1.4933,9.92e-05,9.92e-05,9.92e-05
50,340.563,1.56553,0.56758,1.19918,0.80076,0.93548,0.78509,0.34147,1.94456,0.8886,1.4858,5.96e-05,5.96e-05,5.96e-05
