epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.66008,2.64276,4.02634,1.73667,0.00833,0.48387,0.01588,0.00285,2.67944,4.31205,1.88235,0.0001,0.0001,0.0001
2,12.2114,2.25116,3.01903,1.473,0.33821,0.41935,0.28768,0.12591,1.95771,2.84265,1.47591,0.000215644,0.000215644,0.000215644
3,18.5706,2.03669,1.74959,1.4059,0.52704,0.70968,0.53427,0.21988,2.08067,3.26279,1.59521,0.000326536,0.000326536,0.000326536
4,24.9842,1.91196,1.15276,1.29918,0.56802,0.70968,0.56663,0.22106,2.12935,4.02564,1.75107,0.000432676,0.000432676,0.000432676
5,31.3734,1.96734,0.99582,1.3638,0.67708,0.90323,0.72173,0.25126,2.24403,5.30082,1.66941,0.000534064,0.000534064,0.000534064
6,37.7933,1.95267,0.94287,1.35299,0.61616,0.77419,0.67849,0.23572,2.3846,2.13385,1.69045,0.0006307,0.0006307,0.0006307
7,43.8534,1.90323,0.87289,1.30154,0.67409,0.87097,0.66365,0.27758,2.04378,2.15752,1.60708,0.000722584,0.000722584,0.000722584
8,50.3345,1.8846,0.90085,1.30767,0.65432,0.77419,0.66243,0.29034,2.00177,2.14232,1.63541,0.000809716,0.000809716,0.000809716
9,57.0166,1.92868,0.84646,1.29918,0.5204,0.74194,0.50745,0.19873,1.96316,3.101,1.58581,0.000892096,0.000892096,0.000892096
10,63.21,1.90954,0.85357,1.30362,0.7565,0.80185,0.66977,0.25193,2.12468,2.03001,1.59929,0.000969724,0.000969724,0.000969724
11,69.4445,1.90182,0.83312,1.29586,0.65994,0.83871,0.65269,0.29628,1.92534,1.9437,1.56252,0.0010426,0.0010426,0.0010426
12,76.13,1.82935,0.808,1.28257,0.72886,0.86724,0.67298,0.30118,1.85083,2.49546,1.46281,0.00111072,0.00111072,0.00111072
13,82.8812,1.858,0.78423,1.27846,0.65221,0.58065,0.62082,0.20935,2.25288,1.9273,1.73142,0.0011741,0.0011741,0.0011741
14,89.3129,1.93309,0.81337,1.34357,0.78923,0.29032,0.41376,0.1732,2.32851,2.29842,1.8236,0.00123272,0.00123272,0.00123272
